ID;Количество комнат;Тип;район;Адрес;Площадь, м2;Этаж;Цена;Ремонт;Ссылка на объявление
298508436;2;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, проспект Маршала Жукова, 11;50.8;3/9;7500000;Евроремонт;https://www.cian.ru/sale/flat/298508436
295101711;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя;29.11;7/8;7677180;;https://www.cian.ru/sale/flat/295101711
288796473;2;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК, с17;57.62;4/16;7901640;;https://www.cian.ru/sale/flat/288796473
287276422;2;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК, 11;59.03;4/14;8009400;;https://www.cian.ru/sale/flat/287276422
286807863;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, улица Юрия Левитанского;39.8;15/18;8336371;;https://www.cian.ru/sale/flat/286807863
287276912;3;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК, с10/1;72.6;4/9;8371350;;https://www.cian.ru/sale/flat/287276912
295101666;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя;32.8;5/8;8450428;;https://www.cian.ru/sale/flat/295101666
295101251;2;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя;43.4;1/8;8674618;;https://www.cian.ru/sale/flat/295101251
294060240;2;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, улица Пискунова, 131/3;64.0;16/16;8726000;Евроремонт;https://www.cian.ru/sale/flat/294060240
296478530;;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, улица Пискунова, 132;46.94;14/17;8750000;;https://www.cian.ru/sale/flat/296478530
299280674;2;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, Дальневосточная улица, 166;45.0;16/16;8800000;Дизайнерский;https://www.cian.ru/sale/flat/299280674
298293125;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, улица Юрия Левитанского;46.42;5/18;9036552;;https://www.cian.ru/sale/flat/298293125
300267060;2;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, улица Пискунова, 142/5;64.0;11/16;9400000;Евроремонт;https://www.cian.ru/sale/flat/300267060
